Citations,PI,Title,Link,Year
150,Russell Van Gelder,"Wide-field optical coherence tomography based microangiography for retinal imagingQ Zhang, CS Lee, J Chao, CL Chen, T Zhang, U Sharma, A Zhang, J Liu, ...Scientific reports 6 (1), 22017, 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:HbR8gkJAVGIC,2016
143,Cintia de Paiva,"Aqueous tear deficiency increases conjunctival interferon-γ (IFN-γ) expression and goblet cell lossSC Pflugfelder, CS De Paiva, QL Moore, EA Volpe, DQ Li, K Gumus, ...Investigative ophthalmology & visual science 56 (12), 7545-7550, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:BUYA1_V_uYcC,2015
134,Cintia de Paiva,"IL-13 stimulates proliferation and expression of mucin and immunomodulatory genes in cultured conjunctival goblet cellsJT Henriksson, TG Coursey, DB Corry, CS De Paiva, SC PflugfelderInvestigative ophthalmology & visual science 56 (8), 4186-4197, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:35r97b3x0nAC,2015
133,Cintia de Paiva,"NK cells promote Th-17 mediated corneal barrier disruption in dry eyeX Zhang, EA Volpe, NB Gandhi, CS Schaumburg, KF Siemasko, ...PloS one 7 (5), e36822, 2012",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:isC4tDSrTZIC,2012
132,Russell Van Gelder,"Prospective comparison of microbial culture and polymerase chain reaction in the diagnosis of corneal ulcerE Kim, JD Chidambaram, M Srinivasan, P Lalitha, D Wee, TM Lietman, ...American journal of ophthalmology 146 (5), 714-723. e1, 2008",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:L8Ckcad2t8MC,2008
130,Russell Van Gelder,"Applications of the polymerase chain reaction to diagnosis of ophthalmic diseaseRN Van GelderSurvey of ophthalmology 46 (3), 248-258, 2001",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:WF5omc3nYNoC,2001
130,Cintia de Paiva,"Homeostatic control of conjunctival mucosal goblet cells by NKT-derived IL-13CS De Paiva, JK Raince, AJ McClellan, KP Shanmugam, SB Pangelinan, ...Mucosal immunology 4 (4), 397-408, 2011",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:L8Ckcad2t8MC,2011
130,Cintia de Paiva,"Epithelial-immune cell interaction in dry eyeSC Pflugfelder, CS de Paiva, DQ Li, ME SternCornea 27, S9-S11, 2008",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:roLk4NBRz8UC,2008
126,Cintia de Paiva,"Desiccating stress promotion of Th17 differentiation by ocular surface tissues through a dendritic cell-mediated pathwayX Zheng, CS de Paiva, DQ Li, WJ Farley, SC PflugfelderInvestigative ophthalmology & visual science 51 (6), 3083-3091, 2010",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:MXK_kJrjxJIC,2010
124,Cintia de Paiva,"Rationale for anti-inflammatory therapy in dry eye syndromeCS De Paiva, SC PflugfelderArquivos brasileiros de oftalmologia 71, 89-95, 2008",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:ULOm3_A8WrAC,2008
123,Laura Ensign,"Vaginal delivery of paclitaxel via nanoparticles with non‐mucoadhesive surfaces suppresses cervical tumor growthM Yang, T Yu, YY Wang, SK Lai, Q Zeng, B Miao, BC Tang, BW Simons, ...Advanced healthcare materials 3 (7), 1044-1052, 2014",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tM2Fw10AAAAJ&citation_for_view=tM2Fw10AAAAJ:YsMSGLbcyi4C,2014
123,Laura Ensign,"Gelling hypotonic polymer solution for extended topical drug delivery to the eyeYC Kim, MD Shin, SF Hackett, HT Hsueh, R Lima e Silva, A Date, H Han, ...Nature biomedical engineering 4 (11), 1053-1062, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tM2Fw10AAAAJ&citation_for_view=tM2Fw10AAAAJ:OU6Ihb5iCvQC,2020
123,Cintia de Paiva,"Age-related T-cell cytokine profile parallels corneal disease severity in Sjögren’s syndrome-like keratoconjunctivitis sicca in CD25KO miceCS De Paiva, CS Hwang, JD Pitcher III, SB Pangelinan, E Rahimy, ...Rheumatology 49 (2), 246-258, 2010",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:KlAtU1dfN6UC,2010
122,Russell Van Gelder,"Identification of torque teno virus in culture-negative endophthalmitis by representational deep DNA sequencingAY Lee, L Akileswaran, MD Tibbetts, SJ Garg, RN Van GelderOphthalmology 122 (3), 524-530, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:W5xh706n7nkC,2015
119,Cintia de Paiva,"Protective role of commensal bacteria in Sjögren SyndromeM Zaheer, C Wang, F Bian, Z Yu, H Hernandez, RG de Souza, ...Journal of autoimmunity 93, 45-56, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:ODE9OILHJdcC,2018
119,Cintia de Paiva,"Dexamethasone nanowafer as an effective therapy for dry eye diseaseTG Coursey, JT Henriksson, DC Marcano, CS Shin, LC Isenhart, F Ahmed, ...Journal of Controlled Release 213, 168-174, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:uc_IGeMz5qoC,2015
118,Russell Van Gelder,"Considerations in understanding the ocular surface microbiomeME Zegans, RN Van GelderAmerican journal of ophthalmology 158 (3), 420, 2014",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:eq2jaN3J8jMC,2014
118,Cintia de Paiva,"Partial enrichment of a population of human limbal epithelial cells with putative stem cell properties based on collagen type IV adhesivenessDQ Li, Z Chen, XJ Song, CS de Paiva, HS Kim, SC PflugfelderExperimental eye research 80 (4), 581-590, 2005",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:W7OEmFMy1HYC,2005
117,Russell Van Gelder,"Aqueous and vitreous concentrations following topical administration of 1% voriconazole in humansGA Vemulakonda, SM Hariprasad, WF Mieler, RA Prince, GK Shah, ...Archives of ophthalmology 126 (1), 18-22, 2008",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&cstart=20&pagesize=80&citation_for_view=cBYEMm4AAAAJ:Se3iqnhoufwC,2008
117,Cintia de Paiva,"Ocular surface disease and dacryoadenitis in aging C57BL/6 miceAJ McClellan, EA Volpe, X Zhang, GJ Darlington, DQ Li, SC Pflugfelder, ...The American journal of pathology 184 (3), 631-643, 2014",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:fPk4N6BV_jEC,2014
114,Cintia de Paiva,"Mitochondrial DNA oxidation induces imbalanced activity of NLRP3/NLRP6 inflammasomes by activation of caspase-8 and BRCC36 in dry eyeW Chi, X Hua, X Chen, F Bian, X Yuan, L Zhang, X Wang, D Chen, ...Journal of autoimmunity 80, 65-76, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:-FonjvnnhkoC,2017
114,Cintia de Paiva,"Interferon-γ–induced unfolded protein response in conjunctival goblet cells as a cause of mucin deficiency in Sjögren syndromeTG Coursey, JT Henriksson, FL Barbosa, CS de Paiva, SC PflugfelderThe American journal of pathology 186 (6), 1547-1558, 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:hMsQuOkrut0C,2016
112,Steven Salzberg,"Hawkeye: an interactive visual analytics tool for genome assembliesMC Schatz, AM Phillippy, B Shneiderman, SL SalzbergGenome biology 8 (3), R34, 2007",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sUVeH-4AAAAJ&cstart=100&pagesize=100&citation_for_view=sUVeH-4AAAAJ:SP6oXDckpogC,2007
