omc_id,sample_id,sample_name,non_human_reads,individual_id
pitt00066,0031-3551-20240926-cDNAneg2-thm,0031-3551-20240926-cDNAneg2-thm_S77,82314,NA
pitt00067,0031-3552-20240930-cDNAneg1-thm,0031-3552-20240930-cDNAneg1-thm_S78,2778,NA
pitt00068,0031-3553-20240930-cDNAneg2-thm,0031-3553-20240930-cDNAneg2-thm_S79,41824,NA
pitt00069,0031-3554-20241017-cDNAneg1-thm,0031-3554-20241017-cDNAneg1-thm_S80,33802,NA
pitt00070,0031-3555-20241017-cDNAneg2-thm,0031-3555-20241017-cDNAneg2-thm_S81,40314,NA
pitt00071,0031-3556-20241019-cDNAneg1-thm,0031-3556-20241019-cDNAneg1-thm_S82,48446,NA
pitt00072,0031-3557-20241019-cDNAneg2-thm,0031-3557-20241019-cDNAneg2-thm_S83,45410,NA
pitt00073,0031-3558-20241019-cDNAneg1-thm,0031-3558-20241019-cDNAneg1-thm_S84,7576,NA
pitt00074,0031-3559-20241019-cDNAneg2-thm,0031-3559-20241019-cDNAneg2-thm_S85,6662,NA
pitt00075,0031-3680-20250610-cDNAneg1-NoRT,0031-3680-20250610-cDNAneg1-NoRT_S146,89868,NA
pitt00076,0031-3681-20250610-cDNAneg2-NoRT,0031-3681-20250610-cDNAneg2-NoRT_S147,50,NA
pitt00077,0031-3682-20250610-cDNAneg1-NoRT,0031-3682-20250610-cDNAneg1-NoRT_S148,59108,NA
pitt00078,0031-3683-20250610-cDNAneg2-NoRT,0031-3683-20250610-cDNAneg2-NoRT_S149,75136,NA
pitt00079,0031-3686-20250707-cDNAneg1-NoRT,0031-3686-20250707-cDNAneg1-NoRT_S184,770,NA
pitt00080,0031-3687-20250707-cDNAneg2-NoRT,0031-3687-20250707-cDNAneg2-NoRT_S185,63462,NA
pitt00081,0031-3719-20250923-cDNAneg1-NoRT,0031-3719-20250923-cDNAneg1-NoRT_S163,214256,NA
pitt00082,0031-3720-20250923-cDNAneg2-NoRT,0031-3720-20250923-cDNAneg2-NoRT_S164,16458,NA
pitt00083,0262-HCF001-20240826-DOD-CS,0262-HCF001-20240826-DOD-CS_S41,230634,HCF001
pitt00084,0262-HCF001-20240826-ROD-CS-thm,0262-HCF001-20240826-ROD-CS-thm_S41,204468,HCF001
pitt00085,0262-HCF001-20240903-DOD-CS,0262-HCF001-20240903-DOD-CS_S60,166388,HCF001
pitt00086,0262-HCF001-20240903-ROD-CS-thm,0262-HCF001-20240903-ROD-CS-thm_S60,243906,HCF001
pitt00087,0262-HCF001-20241105-DOD-CS,0262-HCF001-20241105-DOD-CS_S25,49440,HCF001
